"id","category_id","title","sale_price","num_of_bhk","site","product_url","total_sqft","livable_sqft","num_bedrooms","num_bathrooms","flat_condition","flooring_type","parking","furnishing_state","direction_facing","property_on","ownership","year_built","location","inserted_timestamp"
"1","1","1BHK Apartment for Sale","1.1 Crores","1BHK","CommonFloor","https://www.commonfloor.com/listing/1bhk-apartment-for-sale-in-borivali-east-mumbai-at-kaustubh-platinum/hncmmqfjtgc8cp8y","600","420","1","2","New Sale",NULL,"No",NULL,NULL,"Ground floor",NULL,NULL,"Borivali East","2018-09-12 15:37:33"
"2","1","2BHK Apartment for Sale","75 Lakhs","2BHK","CommonFloor","https://www.commonfloor.com/listing/2bhk-apartment-for-sale-in-mira-road-mumbai-at-poonam-estate-cluster-i/3bbc8r1zydmqgpvc","955","620","2","2","Resale",NULL,"No",NULL,NULL,"Ground floor",NULL,NULL,"Mira Road","2018-09-12 15:37:38"
"3","1","1BHK Apartment for Sale","73 Lakhs","1BHK","CommonFloor","https://www.commonfloor.com/listing/1bhk-apartment-for-sale-in-dahisar-east-mumbai-at-chandak-nischay/ro8hq13a26qc19bd","489","342","1","2","New Sale",NULL,"No",NULL,NULL,"Ground floor",NULL,NULL,"Dahisar East","2018-09-12 15:37:42"
"4","1","3BHK Apartment for Sale","2.74 Crores","3BHK","CommonFloor","https://www.commonfloor.com/listing/semi-furnished-3bhk-apartment-for-sale-in-andheri-west-mumbai-at-platinum-vogue/arcp5u85nciql4v0","1330","950","3","3","New Sale","Marble Flooring","Yes","semi furnished","East","5th floor","Freehold","Under Construction","Andheri West","2018-09-12 15:37:46"
"5","1","1BHK Apartment for Sale","80 Lakhs","1BHK","CommonFloor","https://www.commonfloor.com/listing/1bhk-apartment-for-sale-in-kandivali-west-mumbai-at-charkop/rnsv6y2e6cgwrolf","575","375","1","2","Resale",NULL,"No",NULL,NULL,"Ground floor",NULL,NULL,"Kandivali West","2018-09-12 15:37:50"
"6","1","3BHK Apartment for Sale","2.47 Crores","3BHK","CommonFloor","https://www.commonfloor.com/listing/3bhk-apartment-for-sale-in-kandivali-west-mumbai-at-right-grishma-heights/x20y8ls8d8dl0ao4",NULL,"900","3","3","New Sale","Vitrified Tiles","Yes","not furnished","West","8th floor","Freehold","2018","Kandivali West","2018-09-12 15:37:54"
"7","1","3BHK Apartment for Sale","70 Lakhs","3BHK","CommonFloor","https://www.commonfloor.com/listing/3bhk-apartment-for-sale-in-dombivli-east-mumbai-at-lodha-casa-rio/1cm7pm6h8x6yxp1k","1098","798","3","2","Resale","Ceramic","Yes","not furnished","East","11th floor","Freehold","2014","Dombivli East","2018-09-12 15:37:58"
"8","1","2BHK Apartment for Sale","57 Lakhs","2BHK","CommonFloor","https://www.commonfloor.com/listing/2bhk-apartment-for-sale-in-dombivli-east-mumbai-at-lodha-casa-rio/tvxqrb7biazflyyj","909","686","2","2","Resale","Ceramic","Yes","not furnished","East","6th floor",NULL,"2014","Dombivli East","2018-09-12 15:38:02"
"9","1","3BHK Apartment for Sale","1.84 Crores","3BHK","CommonFloor","https://www.commonfloor.com/listing/3bhk-apartment-for-sale-in-kandivali-west-mumbai-at-agarwal-nimmit-towers-ii/ncsmeeh33w34ff6r",NULL,"900","3","3","New Sale","Vitrified Tiles","Yes","not furnished","West","9th floor","Freehold","2016","Kandivali West","2018-09-12 15:38:06"
"10","1","1BHK Apartment for Sale","38 Lakhs","1BHK","CommonFloor","https://www.commonfloor.com/listing/1bhk-apartment-for-sale-in-dombivli-east-mumbai-at-lodha-casa-bella-gold/eqhstamxpyeufeel","585","449","1","1","Resale","Ceramic","No","not furnished","East","5th floor","Freehold","2014","Dombivli East","2018-09-12 15:38:09"
"11","1","1BHK Apartment for Sale","36 Lakhs","1BHK","CommonFloor","https://www.commonfloor.com/listing/1bhk-apartment-for-sale-in-dombivli-east-mumbai-at-lodha-casa-rio/r2j56iuvanxmx43z","598","449","1","1","Resale","Ceramic","Yes","not furnished","East","5th floor","Freehold","2014","Dombivli East","2018-09-12 15:38:10"
"12","1","2BHK Apartment for Sale","1.5 Crores","2BHK","CommonFloor","https://www.commonfloor.com/listing/2bhk-apartment-for-sale-in-kandivali-west-mumbai-at-surbhi-complex/iul2a251443rn4r3",NULL,"667","2","2","New Sale","Vitrified Tiles","Yes","not furnished","East","3th floor","Freehold","2017","Kandivali West","2018-09-12 15:38:15"
"13","1","1BHK Apartment for Sale","95 Lakhs","1BHK","CommonFloor","https://www.commonfloor.com/listing/semi-furnished-1bhk-apartment-for-sale-in-kandivali-east-mumbai-at-bhoomi-elegant/nhun0qu8nv9579fp",NULL,"473","1","2","Resale","Vitrified Tiles","Yes","semi furnished","North","2nd floor","Freehold",NULL,"Kandivali East","2018-09-12 15:38:19"
